Date,Open,High,Low,Close,Adj Close,Volume
2022-05-10,230.000000,233.839996,226.770004,229.300003,227.982437,1748800
2022-05-11,229.339996,232.479996,226.089996,226.940002,225.635986,1830800
2022-05-12,226.020004,227.990005,219.429993,223.490005,222.205811,2121700
2022-05-13,225.039993,227.300003,222.860001,226.309998,225.009598,1557800
2022-05-16,226.710007,228.350006,225.259995,227.800003,226.491043,1237300
2022-05-17,229.250000,232.410004,226.830002,231.619995,230.289093,1084700
2022-05-18,230.520004,232.250000,225.449997,225.979996,224.681503,1929200
2022-05-19,223.899994,224.389999,216.660004,217.779999,216.528625,2108500
2022-05-20,218.380005,218.580002,210.190002,213.500000,212.273209,1985800
2022-05-23,215.190002,217.779999,214.800003,216.699997,215.454819,1812500
2022-05-24,216.190002,220.990005,215.759995,219.820007,218.556900,1480500
2022-05-25,219.779999,221.110001,217.600006,220.050003,218.785583,1498700
2022-05-26,221.729996,224.050003,220.720001,221.259995,219.988617,1477300
2022-05-27,222.649994,226.639999,222.130005,226.509995,225.208450,1403900
2022-05-31,224.240005,226.259995,223.399994,224.910004,223.617661,1637300
2022-06-01,227.089996,228.000000,224.220001,226.220001,224.920120,1204000
2022-06-02,228.669998,230.740005,223.839996,229.440002,228.121628,1101700
2022-06-03,228.389999,231.839996,228.389999,230.130005,228.807663,1410400
2022-06-06,231.330002,232.410004,229.479996,229.899994,228.578979,956900
2022-06-07,228.869995,235.820007,228.149994,235.580002,234.226349,1341400
2022-06-08,233.500000,234.330002,230.770004,231.360001,230.030594,1024600
2022-06-09,230.729996,231.600006,226.770004,226.889999,225.586273,823200
2022-06-10,224.449997,227.110001,222.899994,224.630005,223.339264,1351900
2022-06-13,220.910004,221.649994,216.660004,217.529999,216.280060,1288500
2022-06-14,218.360001,218.869995,214.360001,215.899994,214.659424,1182400
2022-06-15,217.199997,220.710007,215.320007,217.919998,216.667816,1276500
2022-06-16,214.710007,215.679993,211.300003,211.889999,210.672470,1338600
2022-06-17,212.210007,213.389999,208.119995,209.779999,208.574585,3063800
2022-06-21,211.559998,218.470001,211.559998,216.550003,215.305695,1233400
2022-06-22,213.360001,218.910004,212.869995,216.009995,214.768784,1129400
2022-06-23,216.250000,217.850006,213.949997,216.600006,215.355408,1181200
2022-06-24,217.429993,222.729996,216.910004,222.330002,221.052475,1675600
2022-06-27,223.070007,226.250000,222.080002,223.500000,222.215759,1277100
2022-06-28,224.779999,228.000000,220.050003,220.490005,219.223053,1616900
2022-06-29,221.669998,221.990005,218.960007,219.279999,218.020004,1235600
2022-06-30,216.839996,222.389999,215.649994,221.250000,221.250000,1343300
2022-07-01,221.240005,224.479996,219.740005,223.860001,223.860001,705800
2022-07-05,220.210007,221.039993,209.839996,214.529999,214.529999,1613100
2022-07-06,214.070007,220.710007,214.070007,219.559998,219.559998,1095400
2022-07-07,220.559998,221.940002,219.300003,220.580002,220.580002,951100
2022-07-08,221.279999,222.149994,218.610001,221.110001,221.110001,1118600
2022-07-11,219.679993,221.860001,218.800003,219.750000,219.750000,652200
2022-07-12,219.919998,221.000000,216.139999,216.630005,216.630005,744600
2022-07-13,213.630005,216.320007,213.240005,213.389999,213.389999,850100
2022-07-14,209.940002,210.910004,207.419998,210.449997,210.449997,1044400
2022-07-15,213.110001,213.110001,210.009995,212.770004,212.770004,857600
2022-07-18,213.970001,215.000000,208.779999,209.789993,209.789993,1040100
2022-07-19,209.699997,215.300003,209.000000,214.679993,214.679993,906000
2022-07-20,214.479996,217.740005,212.679993,216.720001,216.720001,1030300
2022-07-21,215.880005,217.009995,214.570007,216.889999,216.889999,611400
2022-07-22,217.759995,220.169998,216.080002,216.759995,216.759995,834200
2022-07-25,216.949997,220.289993,216.949997,218.800003,218.800003,745100
2022-07-26,219.360001,219.639999,217.119995,217.630005,217.630005,1038100
2022-07-27,219.449997,222.250000,214.800003,219.850006,219.850006,1156000
2022-07-28,219.020004,223.860001,217.399994,223.800003,223.800003,1032300
2022-07-29,223.520004,227.449997,223.389999,226.669998,226.669998,1230100
2022-08-01,226.550003,228.119995,224.589996,226.179993,226.179993,1086300
2022-08-02,227.279999,229.679993,224.020004,227.039993,227.039993,1007300
2022-08-03,227.169998,231.750000,223.880005,230.669998,230.669998,1226500
2022-08-04,231.320007,232.839996,228.850006,229.160004,229.160004,895100
2022-08-05,228.990005,229.449997,225.869995,228.759995,228.759995,699600
2022-08-08,230.360001,230.429993,224.720001,225.789993,225.789993,961600
2022-08-09,226.970001,228.190002,226.119995,227.619995,227.619995,878400
2022-08-10,229.009995,230.889999,228.550003,230.460007,230.460007,877000
2022-08-11,230.809998,231.990005,229.800003,231.820007,231.820007,1447800
2022-08-12,232.000000,238.100006,232.000000,237.949997,237.949997,1409200
2022-08-15,236.699997,242.190002,235.679993,241.250000,241.250000,1469400
2022-08-16,241.250000,242.490005,240.710007,241.479996,241.479996,807700
2022-08-17,239.639999,243.449997,239.149994,242.690002,242.690002,860900
2022-08-18,243.660004,244.080002,242.240005,243.690002,243.690002,1026100
2022-08-19,243.059998,243.240005,241.130005,241.669998,241.669998,724800
